EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC 331: Van vs. Pantoja 2,Joshua Van vs. Alexandre Pantoja,Round 1,Joshua Van,0,13 of 27,48%,46 of 61,0 of 0,---,0,1,0:45,13 of 26,0 of 1,0 of 0,9 of 22,4 of 5,0 of 0
UFC 331: Van vs. Pantoja 2,Joshua Van vs. Alexandre Pantoja,Round 2,Joshua Van,0,37 of 64,57%,48 of 76,0 of 0,---,0,0,0:20,27 of 52,7 of 8,3 of 4,31 of 55,6 of 9,0 of 0
UFC 331: Van vs. Pantoja 2,Joshua Van vs. Alexandre Pantoja,Round 3,Joshua Van,0,65 of 98,66%,67 of 101,0 of 0,---,0,0,0:14,54 of 86,9 of 10,2 of 2,58 of 91,7 of 7,0 of 0
UFC 331: Van vs. Pantoja 2,Joshua Van vs. Alexandre Pantoja,Round 4,Joshua Van,0,14 of 28,50%,41 of 57,0 of 0,---,0,0,0:00,13 of 27,1 of 1,0 of 0,14 of 28,0 of 0,0 of 0
UFC 331: Van vs. Pantoja 2,Joshua Van vs. Alexandre Pantoja,Round 5,Joshua Van,1,52 of 88,59%,57 of 97,0 of 0,---,1,0,0:54,51 of 87,0 of 0,1 of 1,48 of 82,0 of 0,4 of 6
UFC 331: Van vs. Pantoja 2,Joshua Van vs. Alexandre Pantoja,Round 1,Alexandre Pantoja,0,27 of 45,60%,30 of 48,2 of 3,66%,0,0,2:25,20 of 38,4 of 4,3 of 3,18 of 35,4 of 4,5 of 6
UFC 331: Van vs. Pantoja 2,Joshua Van vs. Alexandre Pantoja,Round 2,Alexandre Pantoja,0,32 of 76,42%,33 of 78,1 of 5,20%,0,0,1:31,21 of 60,9 of 11,2 of 5,23 of 66,8 of 9,1 of 1
UFC 331: Van vs. Pantoja 2,Joshua Van vs. Alexandre Pantoja,Round 3,Alexandre Pantoja,0,36 of 71,50%,37 of 72,1 of 6,16%,0,0,1:17,25 of 59,7 of 8,4 of 4,33 of 67,3 of 4,0 of 0
UFC 331: Van vs. Pantoja 2,Joshua Van vs. Alexandre Pantoja,Round 4,Alexandre Pantoja,0,14 of 22,63%,21 of 32,1 of 2,50%,0,0,3:58,11 of 19,1 of 1,2 of 2,13 of 21,0 of 0,1 of 1
UFC 331: Van vs. Pantoja 2,Joshua Van vs. Alexandre Pantoja,Round 5,Alexandre Pantoja,0,38 of 70,54%,38 of 70,0 of 2,0%,0,0,0:00,14 of 37,9 of 13,15 of 20,37 of 69,1 of 1,0 of 0
UFC 331: Van vs. Pantoja 2,Arman Tsarukyan vs. Mauricio Ruffy,Round 1,Arman Tsarukyan,1,8 of 19,42%,9 of 20,1 of 10,10%,0,0,3:00,7 of 14,0 of 1,1 of 4,3 of 13,5 of 6,0 of 0
UFC 331: Van vs. Pantoja 2,Arman Tsarukyan vs. Mauricio Ruffy,Round 1,Mauricio Ruffy,0,4 of 10,40%,22 of 28,0 of 0,---,0,0,0:06,3 of 7,1 of 2,0 of 1,2 of 8,2 of 2,0 of 0
Noche UFC: Lopes vs. Silva,Kelvin Gastelum vs. Dustin Stoltzfus,Round 1,Kelvin Gastelum,0.0,14 of 25,56%,15 of 26,0 of 0,---,0.0,0.0,0:03,4 of 14,6 of 7,4 of 4,14 of 25,0 of 0,0 of 0
Noche UFC: Lopes vs. Silva,Kelvin Gastelum vs. Dustin Stoltzfus,Round 2,Kelvin Gastelum,1.0,23 of 43,53%,23 of 43,0 of 0,---,0.0,0.0,0:06,14 of 30,6 of 9,3 of 4,23 of 43,0 of 0,0 of 0
Noche UFC: Lopes vs. Silva,Kelvin Gastelum vs. Dustin Stoltzfus,Round 3,Kelvin Gastelum,0.0,20 of 49,40%,20 of 49,0 of 0,---,0.0,0.0,0:14,12 of 37,4 of 8,4 of 4,19 of 48,1 of 1,0 of 0
Noche UFC: Lopes vs. Silva,Kelvin Gastelum vs. Dustin Stoltzfus,Round 1,Dustin Stoltzfus,0.0,24 of 49,48%,25 of 50,1 of 1,100%,0.0,0.0,0:47,3 of 23,13 of 17,8 of 9,20 of 44,4 of 5,0 of 0
